set_index,model_dir,url_0,url_1,url_2,url_3,url_4,url_5
0,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-0-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-0-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-0-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-0-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-0-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-0-neuron-5-cluster.jpg?raw=true
1,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-1-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-1-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-1-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-1-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-1-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-1-neuron-5-cluster.jpg?raw=true
3,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-3-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-3-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-3-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-3-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-3-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-3-neuron-5-cluster.jpg?raw=true
4,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-4-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-4-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-4-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-4-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-4-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-4-neuron-5-cluster.jpg?raw=true
5,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-5-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-5-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-5-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-5-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-5-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-5-neuron-5-cluster.jpg?raw=true
6,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-6-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-6-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-6-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-6-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-6-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-6-neuron-5-cluster.jpg?raw=true
7,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-7-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-7-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-7-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-7-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-7-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-7-neuron-5-cluster.jpg?raw=true
8,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-8-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-8-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-8-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-8-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-8-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-8-neuron-5-cluster.jpg?raw=true
9,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-9-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-9-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-9-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-9-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-9-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-9-neuron-5-cluster.jpg?raw=true
10,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-10-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-10-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-10-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-10-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-10-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-10-neuron-5-cluster.jpg?raw=true
11,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-11-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-11-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-11-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-11-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-11-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-11-neuron-5-cluster.jpg?raw=true
12,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-12-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-12-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-12-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-12-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-12-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-12-neuron-5-cluster.jpg?raw=true
13,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-13-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-13-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-13-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-13-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-13-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-13-neuron-5-cluster.jpg?raw=true
14,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-14-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-14-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-14-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-14-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-14-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-14-neuron-5-cluster.jpg?raw=true
15,NeuEvo-diff_model-diff_epoch,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-15-neuron-0-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-15-neuron-1-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-15-neuron-2-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-15-neuron-3-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-15-neuron-4-cluster.jpg?raw=true,https://github.com/APWright/MTurkPublicData/blob/main/neuro-evo/alignability/NeuEvo-diff_model-diff_epoch/set-15-neuron-5-cluster.jpg?raw=true
